split,budget,method,sources,pairs,trials,detections,detection_rate,mean_paid,mean_paid_when_detected,interval_coverage,mean_wall_seconds
test,25,B1_fixed_mcnemar,3,17,340,3,0.008823529411764706,25.0,25.0,1.0,0.04516630203408353
test,25,B6_active_testing_ipw,3,17,340,0,0.0,25.0,,1.0,0.03373666395816733
test,25,B8_seq_betting_wor,3,17,340,0,0.0,25.0,,1.0,0.05612233683247777
test,25,B8_seq_mcnemar_bonf5,3,17,340,1,0.0029411764705882353,24.985294117647058,20.0,1.0,0.04986331055269522
test,25,IPW_uniform,3,17,340,0,0.0,24.973529411764705,,1.0,0.033555466407800424
test,25,OURS2_paired_shift_ipw,3,17,340,0,0.0,25.0,,1.0,0.0332566225572544
test,50,B1_fixed_mcnemar,3,17,340,10,0.029411764705882353,50.0,50.0,0.9970588235294118,0.06789073942996124
test,50,B6_active_testing_ipw,3,17,340,0,0.0,50.0,,1.0,0.06385382254991462
test,50,B8_seq_betting_wor,3,17,340,1,0.0029411764705882353,49.98529411764706,45.0,0.9970588235294118,0.08039728374603916
test,50,B8_seq_mcnemar_bonf5,3,17,340,3,0.008823529411764706,49.88235294117647,36.666666666666664,1.0,0.073011983416098
test,50,IPW_uniform,3,17,340,2,0.0058823529411764705,49.779411764705884,43.5,0.9941176470588236,0.0628362109665485
test,50,OURS2_paired_shift_ipw,3,17,340,1,0.0029411764705882353,49.99411764705882,48.0,1.0,0.06351387636626468
test,100,B1_fixed_mcnemar,3,17,340,31,0.09117647058823529,100.0,100.0,0.9882352941176471,0.11619264471399433
test,100,B6_active_testing_ipw,3,17,340,6,0.01764705882352941,99.55882352941177,75.0,0.9970588235294118,0.12352033892975134
test,100,B8_seq_betting_wor,3,17,340,16,0.047058823529411764,98.73529411764706,73.125,0.9911764705882353,0.12723331820658024
test,100,B8_seq_mcnemar_bonf5,3,17,340,10,0.029411764705882353,99.0,66.0,1.0,0.1222985619569526
test,100,IPW_uniform,3,17,340,17,0.05,97.8970588235294,72.58823529411765,0.9882352941176471,0.12151217508841963
test,100,OURS2_paired_shift_ipw,3,17,340,11,0.03235294117647059,99.07058823529412,71.27272727272727,1.0,0.12256378020872088
test,200,B1_fixed_mcnemar,3,17,340,58,0.17058823529411765,200.0,200.0,0.9676470588235294,0.2134329774252632
test,200,B6_active_testing_ipw,3,17,340,42,0.12352941176470589,193.61176470588236,148.28571428571428,0.9882352941176471,0.24324601960971076
test,200,B8_seq_betting_wor,3,17,340,42,0.12352941176470589,190.41176470588235,133.33333333333334,0.9823529411764705,0.21682519746177337
test,200,B8_seq_mcnemar_bonf5,3,17,340,30,0.08823529411764706,194.58823529411765,138.66666666666666,1.0,0.2158201817970942
test,200,IPW_uniform,3,17,340,41,0.12058823529411765,186.98235294117646,122.26829268292683,0.9823529411764705,0.23143423357430626
test,200,OURS2_paired_shift_ipw,3,17,340,56,0.16470588235294117,189.9294117647059,138.85714285714286,0.9970588235294118,0.2346450949964278
test,500,B1_fixed_mcnemar,3,17,340,142,0.4176470588235294,500.0,500.0,0.9470588235294117,0.507059811230968
test,500,B6_active_testing_ipw,3,17,340,141,0.4147058823529412,411.9470588235294,298.17021276595744,0.9794117647058823,0.5389210737803403
test,500,B8_seq_betting_wor,3,17,340,119,0.35,420.44117647058823,329.83193277310926,0.9705882352941176,0.4345347935881685
test,500,B8_seq_mcnemar_bonf5,3,17,340,92,0.27058823529411763,457.94117647058823,351.0869565217391,0.9941176470588236,0.46966086385004663
test,500,IPW_uniform,3,17,340,119,0.35,400.6411764705882,282.57142857142856,0.9705882352941176,0.5238279460764983
test,500,OURS2_paired_shift_ipw,3,17,340,162,0.4764705882352941,391.1411764705882,283.18518518518516,0.9823529411764705,0.4965293580118348
test_transfer,25,B1_fixed_mcnemar,1,11,220,9,0.04090909090909091,25.0,25.0,1.0,0.048210166140713474
test_transfer,25,B6_active_testing_ipw,1,11,220,3,0.013636363636363636,24.945454545454545,21.0,1.0,0.03515478281134909
test_transfer,25,B8_seq_betting_wor,1,11,220,1,0.004545454545454545,25.0,25.0,1.0,0.05816993754018437
test_transfer,25,B8_seq_mcnemar_bonf5,1,11,220,3,0.013636363636363636,24.977272727272727,23.333333333333332,1.0,0.05292943653396585
test_transfer,25,IPW_uniform,1,11,220,0,0.0,25.0,,1.0,0.03882641335102645
test_transfer,25,OURS2_paired_shift_ipw,1,11,220,4,0.01818181818181818,24.931818181818183,21.25,1.0,0.03500546340576627
test_transfer,50,B1_fixed_mcnemar,1,11,220,36,0.16363636363636364,50.0,50.0,0.9954545454545455,0.07063146971843459
test_transfer,50,B6_active_testing_ipw,1,11,220,20,0.09090909090909091,48.695454545454545,35.65,1.0,0.0676207508891821
test_transfer,50,B8_seq_betting_wor,1,11,220,10,0.045454545454545456,49.45454545454545,38.0,0.9954545454545455,0.0817192344841632
test_transfer,50,B8_seq_mcnemar_bonf5,1,11,220,18,0.08181818181818182,49.31818181818182,41.666666666666664,1.0,0.07546212503855879
test_transfer,50,IPW_uniform,1,11,220,11,0.05,49.663636363636364,43.27272727272727,0.9954545454545455,0.06927733065729791
test_transfer,50,OURS2_paired_shift_ipw,1,11,220,16,0.07272727272727272,48.90909090909091,35.0,1.0,0.06751203245737336
test_transfer,100,B1_fixed_mcnemar,1,11,220,64,0.2909090909090909,100.0,100.0,0.990909090909091,0.11957136986946518
test_transfer,100,B6_active_testing_ipw,1,11,220,54,0.24545454545454545,89.67727272727272,57.94444444444444,0.9954545454545455,0.12142513269050555
test_transfer,100,B8_seq_betting_wor,1,11,220,46,0.20909090909090908,93.13636363636364,67.17391304347827,0.990909090909091,0.12526451764120297
test_transfer,100,B8_seq_mcnemar_bonf5,1,11,220,45,0.20454545454545456,93.63636363636364,68.88888888888889,1.0,0.11976867543364113
test_transfer,100,IPW_uniform,1,11,220,49,0.22272727272727272,92.17727272727272,65.51020408163265,0.9818181818181818,0.12530371394347062
test_transfer,100,OURS2_paired_shift_ipw,1,11,220,54,0.24545454545454545,91.00909090909092,63.370370370370374,0.990909090909091,0.12169236840510911
test_transfer,200,B1_fixed_mcnemar,1,11,220,67,0.30454545454545456,200.0,200.0,0.9772727272727273,0.21692611287263305
test_transfer,200,B6_active_testing_ipw,1,11,220,60,0.2727272727272727,164.7409090909091,71.61666666666666,0.990909090909091,0.22517525130374866
test_transfer,200,B8_seq_betting_wor,1,11,220,64,0.2909090909090909,165.72727272727272,93.4375,0.9818181818181818,0.19534102876416662
test_transfer,200,B8_seq_mcnemar_bonf5,1,11,220,65,0.29545454545454547,171.0909090909091,102.15384615384616,1.0,0.1945052998479117
test_transfer,200,IPW_uniform,1,11,220,63,0.2863636363636364,161.99545454545455,85.80952380952381,0.9772727272727273,0.21894762031733989
test_transfer,200,OURS2_paired_shift_ipw,1,11,220,60,0.2727272727272727,163.0772727272727,70.66666666666667,0.990909090909091,0.22046800162643193
test_transfer,500,B1_fixed_mcnemar,1,11,220,65,0.29545454545454547,500.0,500.0,0.9772727272727273,0.5078749964013696
test_transfer,500,B6_active_testing_ipw,1,11,220,66,0.3,347.2318181818182,125.0,0.9863636363636363,0.47928851814093915
test_transfer,500,B8_seq_betting_wor,1,11,220,67,0.30454545454545456,340.22727272727275,147.01492537313433,0.9863636363636363,0.362927035970444
test_transfer,500,B8_seq_mcnemar_bonf5,1,11,220,66,0.3,385.0,145.45454545454547,1.0,0.4011104900897904
test_transfer,500,IPW_uniform,1,11,220,65,0.29545454545454547,325.1363636363636,121.47692307692307,0.9818181818181818,0.45422603838484393
test_transfer,500,OURS2_paired_shift_ipw,1,11,220,62,0.2818181818181818,327.0409090909091,98.5,0.9863636363636363,0.4562982718714259
